Most common words,DonaldTrump.txt Relative frequency,hillaryClinton.txt Relative frequency,Relative frequency difference
civil,0.0,0.0015105740181268882,0.0015105740181268882
edgewat,0.0,0.0015105740181268882,0.0015105740181268882
race,0.0,0.0015105740181268882,0.0015105740181268882
show,0.0,0.0015105740181268882,0.0015105740181268882
dozen,0.0,0.0015105740181268882,0.0015105740181268882
traditionalist,0.0,0.0015105740181268882,0.0015105740181268882
speech,0.0,0.0015105740181268882,0.0015105740181268882
daughter,0.0,0.0015105740181268882,0.0015105740181268882
abil,0.0,0.0015105740181268882,0.0015105740181268882
youth,0.0,0.0015105740181268882,0.0015105740181268882
opportun,0.0,0.0015105740181268882,0.0015105740181268882
limit,0.0,0.0015105740181268882,0.0015105740181268882
household,0.0,0.0015105740181268882,0.0015105740181268882
canvass,0.0,0.0015105740181268882,0.0015105740181268882
veri,0.0,0.0015105740181268882,0.0015105740181268882
king,0.0,0.0015105740181268882,0.0015105740181268882
conscienc,0.0,0.0015105740181268882,0.0015105740181268882
fellow,0.0,0.0015105740181268882,0.0015105740181268882
teenag,0.0,0.0015105740181268882,0.0015105740181268882
friend,0.0,0.0015105740181268882,0.0015105740181268882
evid,0.0,0.0015105740181268882,0.0015105740181268882
topic,0.0,0.0015105740181268882,0.0015105740181268882
introduc,0.0,0.0015105740181268882,0.0015105740181268882
anticommunist,0.0,0.0015105740181268882,0.0015105740181268882
fervent,0.0,0.0015105740181268882,0.0015105740181268882
shape,0.0,0.0015105740181268882,0.0015105740181268882
earli,0.0,0.0015105740181268882,0.0015105740181268882
barri,0.0,0.0015105740181268882,0.0015105740181268882
volunt,0.0,0.0015105740181268882,0.0015105740181268882
nixon,0.0,0.0015105740181268882,0.0015105740181268882
entri,0.0,0.0015105740181268882,0.0015105740181268882
richard,0.0,0.0015105740181268882,0.0015105740181268882
lot,0.0,0.0015105740181268882,0.0015105740181268882
empti,0.0,0.0015105740181268882,0.0015105740181268882
address,0.0,0.0015105740181268882,0.0015105740181268882
